val_inc_L1	val_inc_L2	val_inc_L3	val_con_L1	val_con_L2	val_con_L3	ivl_inc_L1	ivl_inc_L2	ivl_inc_L3	ivl_con_L1	ivl_con_L2	ivl_con_L3	ctr_inc_L1	ctr_inc_L2	ctr_inc_L3	ctr_con_L1	ctr_con_L2	ctr_con_L3	non_inc_L1	non_inc_L2	non_inc_L3	non_con_L1	non_con_L2	non_con_L3	
 677.46	 660.42	 646.36	 585.27	 579.23	 634.65	 767.67	 800.73	 695.05	 773.96	 839.45	 697.40	 618.40	 806.35	 638.10	 621.90	 714.38	 659.41	 660.60	 676.57	 708.68	 618.48	 733.69	 633.81	
 568.60	 579.66	 590.67	 483.99	 489.96	 482.40	 651.77	 603.26	 632.01	 557.44	 572.03	 516.71	 577.24	 632.16	 645.43	 511.28	 524.90	 491.96	 649.58	 621.14	 637.70	 554.85	 594.67	 553.91	
 519.32	 532.58	 548.67	 476.37	 432.67	 414.88	 611.50	 560.71	 659.37	 498.28	 471.47	 455.49	 552.37	 635.23	 535.58	 442.77	 594.54	 390.91	 536.36	 534.30	 558.79	 517.40	 477.68	 488.26	
 533.45	 546.95	 497.73	 463.82	 436.22	 426.73	 639.29	 612.97	 586.52	 540.11	 531.93	 511.28	 604.68	 545.48	 568.51	 468.25	 457.59	 484.63	 576.93	 552.84	 559.16	 541.45	 495.32	 507.92	
 591.86	 587.55	 619.46	 458.54	 467.91	 454.58	 648.93	 667.25	 728.38	 513.44	 471.67	 539.17	 643.33	 647.07	 608.59	 458.85	 580.59	 502.73	 689.24	 622.62	 646.61	 560.31	 554.39	 547.81	
 688.93	 662.21	 661.47	 531.35	 540.85	 579.66	 688.50	 681.88	 717.27	 581.28	 547.02	 562.59	 658.52	 734.22	 661.75	 547.98	 601.06	 569.38	 696.32	 615.83	 712.90	 543.27	 603.98	 665.01	
 593.66	 574.51	 580.17	 487.68	 503.50	 530.19	 720.30	 666.45	 619.92	 560.27	 539.98	 551.61	 642.41	 629.50	 661.89	 633.26	 516.38	 515.20	 608.98	 726.35	 622.96	 660.53	 652.67	 598.91	
 590.30	 566.16	 593.80	 482.89	 480.09	 523.43	 651.59	 563.92	 668.62	 521.02	 539.11	 560.49	 673.68	 710.20	 604.92	 535.59	 517.03	 594.16	 670.79	 609.81	 604.31	 528.83	 545.73	 535.55	
 668.08	 644.63	 660.83	 615.87	 567.18	 606.00	 804.47	 810.74	 700.01	 645.78	 725.85	 694.72	 629.96	 667.94	 761.40	 684.89	 593.41	 732.98	 692.51	 652.97	 763.30	 662.00	 682.18	 805.34	
 600.12	 572.04	 599.00	 496.98	 502.52	 536.33	 670.22	 774.91	 719.99	 626.76	 611.72	 618.80	 677.33	 687.89	 680.28	 518.76	 529.69	 550.13	 705.10	 640.23	 680.50	 585.49	 606.38	 565.63	
 747.14	 685.65	 708.07	 716.24	 679.04	 678.81	 752.40	 866.91	 759.00	 668.73	 615.54	 852.66	 663.13	 727.51	 843.32	 659.13	 917.26	 638.68	 688.38	 967.75	 800.72	 774.35	 728.34	 700.45	
 548.99	 550.05	 536.06	 456.72	 456.51	 484.21	 624.88	 606.71	 638.25	 507.86	 501.96	 540.27	 602.91	 583.26	 557.69	 558.32	 491.33	 487.78	 576.44	 702.24	 587.86	 503.03	 573.35	 485.58	
 587.32	 566.03	 575.94	 484.94	 494.92	 500.11	 668.40	 686.68	 623.36	 506.24	 510.53	 523.76	 653.31	 629.60	 664.16	 537.50	 510.43	 490.36	 640.09	 631.29	 627.52	 506.13	 536.98	 551.07	
 610.37	 570.83	 590.92	 529.95	 519.36	 486.23	 642.62	 678.92	 557.85	 547.64	 591.55	 543.57	 717.81	 614.91	 588.66	 572.02	 554.65	 585.63	 585.94	 526.52	 644.39	 558.54	 598.14	 619.79	
 603.68	 550.48	 591.78	 461.83	 458.40	 469.50	 665.82	 675.75	 653.05	 520.04	 515.88	 551.79	 589.56	 603.60	 719.79	 522.90	 497.70	 470.86	 653.06	 617.91	 579.98	 597.70	 524.83	 517.60	
 478.02	 474.39	 473.20	 394.43	 403.57	 404.19	 570.25	 562.92	 577.02	 491.71	 465.47	 497.51	 512.79	 519.73	 536.24	 424.28	 448.48	 469.25	 550.60	 501.33	 550.09	 473.82	 491.18	 473.89	
 635.93	 650.22	 640.72	 592.89	 607.03	 624.53	 743.86	 701.45	 740.60	 713.03	 725.59	 721.92	 723.86	 696.82	 733.62	 723.45	 651.86	 743.85	 715.72	 691.33	 721.67	 748.95	 706.15	 700.22	
 535.49	 544.11	 531.08	 446.76	 425.06	 438.02	 599.67	 623.83	 606.07	 472.14	 448.36	 466.23	 609.53	 600.28	 589.65	 472.58	 455.26	 484.01	 608.41	 630.64	 613.68	 524.70	 503.73	 523.99	
 444.31	 420.57	 435.39	 361.68	 380.36	 382.49	 524.54	 578.28	 536.03	 405.22	 419.57	 420.63	 483.04	 470.99	 466.40	 413.78	 381.44	 431.82	 484.24	 456.99	 488.26	 424.92	 431.87	 447.94	
 681.87	 645.81	 658.75	 496.13	 504.74	 511.36	 767.89	 725.59	 780.37	 535.93	 624.67	 574.08	 715.34	 681.66	 691.29	 561.06	 661.76	 593.72	 709.69	 699.95	 652.36	 569.73	 672.29	 590.78	
 501.56	 492.53	 526.27	 450.34	 445.01	 457.17	 620.11	 595.33	 652.69	 542.34	 588.72	 557.15	 596.67	 544.60	 576.19	 497.44	 502.89	 536.08	 560.78	 571.08	 525.21	 507.58	 524.00	 528.55	
 635.20	 610.19	 640.35	 507.44	 484.26	 516.44	 692.17	 740.69	 727.98	 635.94	 517.44	 541.02	 777.09	 766.85	 747.63	 529.62	 555.37	 517.89	 796.86	 733.77	 681.64	 569.95	 571.09	 593.74	
 521.58	 500.51	 530.35	 455.42	 423.08	 432.61	 582.86	 606.20	 607.21	 496.62	 558.65	 565.30	 641.96	 549.78	 538.82	 505.00	 536.99	 553.34	 558.20	 578.47	 613.84	 544.98	 535.58	 500.51	
 661.62	 702.37	 727.30	 643.90	 698.36	 665.88	 704.97	 734.04	 742.75	 801.32	 697.55	 812.14	 742.23	 662.90	 676.21	 771.08	 682.61	 744.39	 718.32	 688.17	 657.70	 708.33	 633.71	 643.21	
 529.30	 552.35	 531.96	 512.59	 504.42	 517.21	 600.58	 730.33	 595.25	 553.81	 560.16	 548.02	 593.05	 585.97	 635.95	 508.43	 654.33	 472.46	 639.04	 610.68	 638.67	 683.57	 492.46	 502.72	
 718.88	 639.99	 727.11	 585.28	 559.12	 587.64	 688.18	 723.73	 787.82	 655.06	 609.82	 806.61	 751.69	 803.14	 746.35	 861.12	 535.94	 632.95	 783.32	 731.55	 737.22	 558.03	 651.77	 644.18	
 610.32	 599.39	 598.62	 471.42	 420.60	 450.92	 666.52	 670.34	 704.13	 476.04	 547.91	 491.27	 727.95	 677.06	 642.31	 532.74	 540.71	 516.96	 647.10	 583.45	 635.87	 521.45	 536.56	 507.67	
 535.91	 504.89	 487.00	 445.48	 405.68	 412.11	 574.93	 586.06	 564.26	 466.78	 446.45	 491.09	 557.59	 568.98	 521.89	 497.75	 453.99	 496.44	 551.00	 538.98	 575.62	 467.16	 439.67	 494.47	
 627.92	 588.94	 560.53	 445.27	 455.31	 461.02	 647.70	 643.52	 654.63	 503.28	 485.35	 562.53	 615.98	 590.15	 602.31	 520.23	 505.06	 529.57	 612.77	 580.34	 589.26	 559.79	 502.39	 512.76	
 911.36	 811.16	 798.18	 659.21	 657.32	 622.83	 966.10	 886.15	 947.93	 558.10	 570.01	 735.22	 861.27	 862.35	 958.19	 735.65	 729.38	 676.27	 823.92	 820.16	 794.14	 770.74	 713.70	 795.27	
 714.35	 729.54	 714.64	 594.59	 665.13	 605.81	 747.07	 901.48	 784.15	 653.40	 686.31	 642.69	 711.05	 723.04	 816.47	 599.77	 813.87	 647.74	 741.22	 690.87	 788.51	 578.55	 740.13	 644.84	
 632.05	 548.60	 550.02	 505.34	 462.94	 452.52	 673.71	 723.32	 721.77	 520.55	 526.68	 533.74	 692.70	 687.17	 682.17	 518.19	 561.81	 579.33	 649.41	 646.94	 710.22	 669.48	 607.38	 548.57	
 537.13	 560.60	 519.12	 480.16	 445.39	 470.16	 554.75	 607.78	 585.28	 525.85	 462.98	 569.79	 648.85	 551.26	 578.55	 539.24	 521.05	 523.17	 563.49	 628.30	 560.47	 633.67	 560.02	 493.12	
 542.47	 547.18	 549.20	 446.77	 431.85	 472.03	 590.38	 647.50	 663.65	 478.01	 560.90	 547.59	 615.55	 581.72	 561.06	 525.52	 489.98	 480.04	 595.08	 554.58	 595.91	 509.52	 488.09	 501.95	
 469.56	 449.49	 473.14	 410.42	 394.42	 409.99	 549.61	 601.31	 558.90	 452.37	 474.81	 496.34	 503.91	 543.23	 497.65	 454.40	 436.73	 415.17	 495.05	 513.88	 508.80	 468.52	 445.60	 485.95	
 573.79	 536.70	 528.81	 495.94	 487.84	 469.98	 635.25	 600.88	 675.08	 479.34	 511.42	 551.56	 574.65	 575.51	 541.24	 472.86	 478.23	 457.65	 599.72	 595.80	 664.41	 492.61	 477.19	 516.85	
 666.21	 655.41	 667.25	 527.08	 595.06	 578.55	 636.15	 687.40	 755.35	 641.90	 539.96	 562.81	 688.37	 700.99	 727.54	 669.59	 545.97	 581.91	 731.64	 630.93	 754.50	 633.90	 536.08	 713.01	
 490.54	 507.55	 522.91	 418.66	 423.86	 415.10	 571.73	 607.10	 587.30	 468.49	 460.99	 463.99	 504.94	 533.99	 541.23	 432.35	 430.21	 413.41	 516.17	 532.10	 538.62	 456.66	 421.93	 441.96	
 522.28	 515.65	 523.66	 413.64	 451.80	 442.78	 646.10	 621.58	 634.65	 482.87	 484.94	 479.19	 563.11	 529.86	 542.12	 466.42	 452.56	 491.26	 531.85	 561.11	 585.98	 495.98	 483.15	 468.99	
 629.23	 633.42	 627.53	 516.65	 514.15	 489.74	 777.61	 698.26	 720.66	 594.46	 594.25	 585.19	 772.62	 731.34	 726.25	 556.98	 550.64	 568.26	 824.98	 707.45	 692.34	 619.97	 559.01	 712.23	
 610.57	 580.76	 613.07	 605.03	 563.86	 583.26	 734.28	 639.15	 645.79	 672.28	 684.06	 646.60	 689.21	 688.09	 594.42	 720.36	 590.09	 635.44	 721.94	 626.12	 630.16	 731.77	 686.22	 670.35	
 532.22	 522.49	 533.46	 457.09	 437.10	 461.52	 612.02	 632.78	 607.00	 495.25	 464.28	 507.94	 630.11	 599.84	 628.81	 506.46	 501.03	 482.21	 627.90	 583.84	 602.17	 526.14	 463.54	 513.66	
 699.79	 659.10	 713.83	 540.27	 671.02	 612.19	 753.47	 751.62	 762.91	 616.50	 638.99	 618.78	 770.90	 690.62	 743.13	 750.30	 703.18	 659.26	 840.06	 672.88	 720.84	 698.89	 635.03	 627.38	
 658.18	 620.83	 670.97	 490.37	 527.73	 539.01	 658.59	 766.76	 724.02	 499.38	 519.70	 627.27	 739.57	 664.55	 693.55	 522.93	 669.59	 628.75	 586.06	 712.83	 687.61	 581.34	 592.85	 568.40	
 551.67	 543.78	 545.83	 449.17	 480.99	 481.26	 576.75	 597.28	 598.77	 513.60	 491.09	 504.17	 613.03	 589.46	 548.93	 536.07	 515.80	 464.67	 509.65	 529.81	 536.02	 511.73	 543.00	 516.49	
 632.64	 554.10	 580.90	 528.65	 472.53	 492.21	 623.27	 664.40	 687.70	 542.83	 562.75	 449.41	 630.10	 560.11	 620.21	 504.13	 543.28	 565.00	 626.95	 641.84	 632.81	 528.90	 571.78	 578.07	
 713.15	 662.49	 657.28	 563.66	 590.81	 572.44	 683.62	 809.26	 694.57	 581.78	 529.19	 574.00	 760.00	 667.38	 642.03	 544.12	 587.00	 655.26	 848.61	 716.09	 674.42	 636.82	 626.55	 645.33	
 526.25	 547.97	 531.01	 509.91	 497.52	 503.84	 628.06	 582.70	 645.12	 507.26	 505.18	 564.39	 575.36	 539.61	 624.08	 550.20	 523.06	 489.56	 572.82	 586.20	 598.11	 507.61	 560.20	 512.95	
 539.33	 520.07	 542.47	 459.54	 432.68	 463.44	 606.17	 589.44	 619.73	 465.77	 489.07	 485.84	 617.68	 586.29	 611.29	 472.45	 465.62	 499.25	 634.78	 573.42	 581.70	 539.28	 512.99	 550.97	
 485.63	 444.22	 469.87	 376.64	 371.45	 386.21	 466.83	 523.21	 538.45	 372.36	 394.97	 401.36	 449.06	 533.43	 480.83	 386.19	 395.00	 382.41	 464.71	 436.18	 464.00	 429.42	 515.72	 384.55	
 631.23	 596.87	 596.38	 518.31	 523.34	 496.77	 639.04	 685.50	 721.94	 561.46	 539.57	 553.10	 626.08	 759.10	 591.34	 538.00	 550.95	 575.27	 576.60	 560.62	 617.38	 544.26	 533.82	 557.97	
 504.35	 472.01	 500.80	 439.71	 432.46	 438.05	 572.97	 574.70	 555.34	 477.86	 430.20	 523.01	 551.06	 528.98	 504.59	 443.16	 495.44	 471.68	 554.06	 496.93	 512.20	 508.28	 474.71	 583.93	
 612.69	 576.22	 578.32	 478.16	 452.57	 430.99	 638.54	 635.82	 663.02	 423.87	 463.41	 495.38	 564.16	 630.23	 656.78	 549.18	 511.44	 523.52	 589.01	 583.63	 709.08	 604.25	 466.45	 520.74	
 606.53	 622.82	 626.37	 465.94	 453.80	 433.36	 705.74	 687.53	 663.34	 478.80	 469.23	 459.61	 785.71	 639.64	 583.05	 480.89	 523.45	 512.23	 697.63	 772.03	 635.49	 485.81	 493.25	 502.45	
