ANT	 Experiment ID
198	 Subject
23-Feb-2019 16:36:12	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
7	 nBlocks
60.018841	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	3	V	2	L	L	1	 363.72	24	45
1	2	1	V	2	R	R	1	 408.71	24	9
1	3	2	V	2	R	R	1	 432.83	96	27
1	4	2	V	1	R	L	0	 406.73	24	27
1	5	1	C	1	R	R	1	 506.32	96	9
1	6	1	V	1	L	L	1	 563.20	96	9
1	7	1	N	1	R	R	1	 455.96	24	9
1	8	2	C	1	R	R	1	 406.22	24	27
1	9	2	V	2	R	R	1	 470.08	96	27
1	10	1	I	2	R	R	1	 527.93	24	9
1	11	2	I	1	L	L	1	 523.29	24	27
1	12	3	C	1	R	R	1	 449.99	24	45
1	13	3	N	2	L	R	0	 475.63	24	45
1	14	1	V	2	R	R	1	 388.66	96	9
1	15	3	V	2	L	L	1	 408.95	96	45
1	16	2	N	2	L	L	1	 489.93	24	27
1	17	3	V	1	L	R	0	 387.07	24	45
1	18	1	N	2	L	L	1	 479.15	24	9
1	19	1	V	2	L	L	1	 431.69	96	9
1	20	1	V	2	L	L	1	 394.06	24	9
1	21	3	I	1	R	R	1	 526.99	24	45
1	22	2	N	1	L	L	1	 538.11	96	27
1	23	1	V	1	L	L	1	 449.32	24	9
1	24	2	V	2	L	L	1	 350.09	24	27
1	25	3	V	1	R	R	1	 516.68	24	45
1	26	1	V	1	L	L	1	 484.44	24	9
1	27	2	V	1	L	L	1	 488.44	96	27
1	28	2	V	1	R	L	0	 340.84	96	27
1	29	2	V	2	R	R	1	 431.31	96	27
1	30	2	N	1	R	R	1	 438.13	24	27
1	31	3	N	1	L	L	1	 416.02	24	45
1	32	3	C	2	L	L	1	 396.11	96	45
1	33	2	I	2	L	L	1	 476.42	96	27
1	34	2	I	2	L	L	1	 465.37	96	27
1	35	2	I	1	R	R	1	 494.13	96	27
1	36	3	I	2	R	R	1	 431.15	96	45
1	37	1	I	2	L	L	1	 392.83	96	9
1	38	3	V	1	R	R	1	 445.03	96	45
1	39	1	N	2	L	L	1	 463.03	96	9
1	40	1	I	1	L	L	1	 488.89	24	9
1	41	2	V	1	R	L	0	 365.73	24	27
1	42	3	V	1	R	R	1	 186.43	24	45
1	43	1	V	2	L	L	1	 398.75	96	9
1	44	3	V	1	R	R	1	 434.31	24	45
1	45	1	I	1	L	L	1	 549.48	24	9
1	46	3	C	2	R	R	1	 434.30	24	45
1	47	1	V	1	L	L	1	 462.44	24	9
1	48	3	V	2	L	L	1	 423.04	96	45
1	49	2	C	1	L	L	1	 510.45	24	27
1	50	3	C	1	L	R	0	 390.91	96	45
1	51	2	C	1	L	L	1	 470.72	96	27
1	52	3	V	2	R	L	0	 271.77	96	45
1	53	3	I	1	R	R	1	 521.66	24	45
1	54	2	C	2	L	L	1	 500.56	96	27
1	55	1	N	1	R	L	0	 572.24	96	9
1	56	1	V	1	R	R	1	 465.46	96	9
1	57	1	C	2	L	L	1	 601.98	24	9
1	58	3	V	1	R	R	1	 430.44	24	45
1	59	2	N	1	R	R	1	 469.03	96	27
1	60	3	V	1	L	L	1	 477.93	96	45
1	61	1	V	1	R	R	1	 455.36	96	9
1	62	1	V	1	L	L	1	 488.50	96	9
1	63	3	V	2	L	L	1	 392.97	24	45
1	64	2	V	2	R	R	1	 337.32	96	27
1	65	3	V	2	R	R	1	 367.19	96	45
1	66	1	V	1	R	L	0	 388.54	24	9
1	67	1	V	1	R	R	1	 409.39	24	9
1	68	3	V	2	L	L	1	 412.79	96	45
1	69	2	V	2	L	L	1	 308.60	96	27
1	70	3	V	2	R	R	1	 476.05	96	45
