ANT	 Experiment ID
71	 Subject
14-Apr-2019 15:09:18	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
3	 nBlocks
60.019295	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	3	V	1	L	L	1	 796.97	96	45
1	2	2	V	1	L	L	1	 916.47	96	27
1	3	3	I	1	R	R	1	 915.58	96	45
1	4	1	V	1	R	R	1	 563.31	96	9
1	5	3	C	2	L	L	1	 776.91	24	45
1	6	2	N	1	R	R	1	 713.23	24	27
1	7	3	V	1	R	R	1	 545.39	24	45
1	8	1	V	1	L	L	1	 750.85	96	9
1	9	1	N	2	L	L	1	 717.11	24	9
1	10	1	C	1	L	L	1	 789.25	24	9
1	11	1	N	2	L	L	1	 577.59	96	9
1	12	1	I	2	L	L	1	 486.94	96	9
1	13	3	C	1	L	L	1	 598.59	96	45
1	14	1	N	1	R	R	1	1098.00	96	9
1	15	2	N	1	L	L	1	 742.50	24	27
1	16	2	V	1	L	L	1	 576.68	96	27
1	17	3	C	1	R	R	1	 605.99	96	45
1	18	3	V	1	L	L	1	 818.21	24	45
1	19	1	I	1	L	L	1	 621.19	96	9
1	20	2	V	1	R	R	1	 573.18	24	27
1	21	2	C	2	R	R	1	 581.69	24	27
1	22	2	C	1	L	L	1	 623.18	96	27
1	23	2	N	2	L	L	1	 549.86	96	27
1	24	3	V	2	L	L	1	 435.12	96	45
1	25	2	V	2	R	R	1	 458.13	96	27
1	26	1	V	2	R	R	1	 403.74	24	9
1	27	1	I	2	L	L	1	 542.95	96	9
1	28	2	V	2	R	R	1	 514.21	24	27
1	29	1	V	1	R	R	1	 625.01	24	9
1	30	2	I	2	L	L	1	 535.89	96	27
1	31	3	V	2	R	R	1	 478.44	96	45
1	32	1	V	2	L	L	1	 520.10	96	9
1	33	2	C	2	L	L	1	 466.65	96	27
1	34	1	C	1	L	L	1	 659.84	24	9
1	35	3	I	2	R	R	1	 669.24	24	45
1	36	3	V	1	R	R	1	 607.46	96	45
1	37	3	C	2	R	R	1	 242.83	96	45
1	38	1	V	2	R	R	1	 453.42	96	9
1	39	3	V	2	R	R	1	 431.22	24	45
1	40	1	V	1	L	L	1	 937.40	24	9
1	41	2	V	2	R	R	1	 531.96	96	27
1	42	2	N	2	R	R	1	 511.03	24	27
1	43	1	I	1	R	R	1	 790.09	96	9
1	44	3	V	2	L	L	1	 707.90	24	45
1	45	1	V	1	L	L	1	 675.88	24	9
1	46	3	V	2	R	R	1	 580.00	96	45
1	47	3	N	2	L	L	1	 593.33	24	45
1	48	1	V	1	L	L	1	 589.68	24	9
1	49	1	V	2	R	R	1	 458.08	24	9
1	50	3	V	2	L	L	1	 628.34	96	45
1	51	2	V	2	R	R	1	 499.04	24	27
1	52	2	N	2	L	L	1	 607.02	96	27
1	53	3	V	1	L	L	1	 690.64	96	45
1	54	3	V	2	L	L	1	 499.38	96	45
1	55	2	I	1	R	L	0	 590.48	96	27
1	56	2	V	1	R	R	1	 759.28	96	27
1	57	1	V	1	L	L	1	 804.94	96	9
1	58	2	V	2	L	L	1	 533.47	24	27
1	59	3	V	2	L	L	1	 548.13	96	45
1	60	3	V	2	R	R	1	 754.24	24	45
1	61	2	V	2	R	R	1	 674.97	96	27
1	62	2	V	1	R	R	1	 665.42	24	27
1	63	1	V	2	R	R	1	 498.11	96	9
1	64	3	I	1	L	L	1	 858.53	24	45
1	65	1	V	2	L	L	1	 499.24	96	9
1	66	2	V	2	R	R	1	 807.59	24	27
1	67	1	V	2	R	R	1	 531.27	96	9
1	68	1	C	2	R	R	1	 722.26	24	9
1	69	1	V	2	R	R	1	 633.02	24	9
1	70	3	V	1	L	L	1	 772.10	96	45
1	71	2	V	1	L	L	1	 628.82	24	27
1	72	3	I	1	L	L	1	 752.27	96	45
1	73	3	V	1	R	R	1	 630.72	96	45
1	74	3	N	1	L	L	1	 688.21	96	45
1	75	2	V	1	R	R	1	 676.69	24	27
1	76	2	V	1	R	R	1	 674.81	24	27
1	77	1	V	2	R	R	1	 508.32	96	9
1	78	1	N	1	L	L	1	 667.93	96	9
1	79	3	N	1	R	R	1	 812.68	96	45
1	80	3	C	2	L	L	1	 703.70	96	45
1	81	2	V	1	L	L	1	 651.49	24	27
1	82	3	V	2	R	R	1	 533.76	96	45
