ANT	 Experiment ID
96	 Subject
08-May-2019 10:58:04	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
3	 nBlocks
60.000000	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	3	V	2	L	L	1	 737.96	96	45
1	2	3	V	1	L	L	1	 735.12	24	45
1	3	2	I	2	L	L	1	 681.54	24	27
1	4	2	V	2	R	R	1	 541.11	96	27
1	5	1	N	1	L	L	1	 706.34	96	9
1	6	3	V	1	R	R	1	 481.45	96	45
1	7	2	N	1	L	L	1	 549.26	24	27
1	8	1	V	1	R	R	1	 482.34	96	9
1	9	1	I	2	R	R	1	 763.19	24	9
1	10	3	V	2	R	R	1	 447.32	96	45
1	11	2	I	1	L	L	1	 508.81	24	27
1	12	3	V	1	R	L	0	 507.74	24	45
1	13	1	V	1	L	L	1	 619.20	96	9
1	14	2	N	1	R	R	1	 586.13	24	27
1	15	2	V	2	L	L	1	 481.36	96	27
1	16	1	C	1	R	R	1	 833.29	96	9
1	17	2	I	2	R	L	0	 574.77	96	27
1	18	1	V	1	L	L	1	 499.63	96	9
1	19	3	C	2	L	L	1	 538.61	96	45
1	20	3	C	2	L	L	1	 479.42	96	45
1	21	1	N	1	R	R	1	 608.11	96	9
1	22	1	N	2	L	L	1	 571.46	96	9
1	23	1	N	2	L	L	1	 624.02	24	9
1	24	2	V	2	R	R	1	 342.90	24	27
1	25	3	V	1	L	L	1	 500.69	96	45
1	26	1	V	1	R	L	0	 444.14	24	9
1	27	2	I	1	L	L	1	 609.39	96	27
1	28	3	V	1	R	R	1	 508.88	96	45
1	29	3	V	1	L	L	1	 627.36	24	45
1	30	2	C	2	L	L	1	 410.73	96	27
1	31	1	N	2	L	L	1	 621.72	96	9
1	32	1	V	1	R	R	1	 488.35	24	9
1	33	1	N	2	R	R	1	 591.62	24	9
1	34	1	N	1	L	L	1	 691.85	24	9
1	35	2	V	1	L	L	1	 423.68	24	27
1	36	2	V	2	R	R	1	 422.05	24	27
1	37	3	V	1	R	R	1	 488.70	96	45
1	38	2	V	1	L	L	1	 596.40	24	27
1	39	1	V	1	L	L	1	 575.97	24	9
1	40	1	V	2	L	L	1	 436.89	24	9
1	41	3	I	1	R	R	1	 494.93	96	45
1	42	2	I	2	R	R	1	 568.87	96	27
1	43	2	C	1	L	L	1	 666.89	24	27
1	44	3	N	2	L	L	1	 634.99	96	45
1	45	2	C	1	R	R	1	 568.23	96	27
1	46	1	V	2	L	L	1	 357.12	96	9
1	47	3	I	1	R	R	1	 569.99	96	45
1	48	1	V	1	L	L	1	 502.67	24	9
1	49	3	C	1	R	R	1	 669.88	96	45
1	50	3	V	1	R	R	1	 518.35	24	45
1	51	2	V	2	R	R	1	 384.53	96	27
1	52	2	V	2	L	L	1	 672.87	24	27
1	53	1	V	2	R	R	1	 521.08	96	9
1	54	1	C	1	R	R	1	 536.17	24	9
1	55	2	V	2	R	R	1	 442.22	24	27
1	56	3	N	1	R	R	1	 514.94	96	45
1	57	1	V	2	R	R	1	 433.98	24	9
1	58	3	I	2	L	L	1	 388.17	96	45
1	59	2	V	1	L	L	1	1275.96	24	27
1	60	2	V	2	R	R	1	 399.75	96	27
1	61	3	V	2	L	L	1	 643.61	24	45
1	62	3	V	2	L	L	1	 421.30	24	45
1	63	2	C	2	R	R	1	 460.09	96	27
1	64	3	C	1	L	L	1	 765.22	96	45
1	65	3	V	2	R	R	1	 473.13	96	45
1	66	2	V	2	L	L	1	 404.54	96	27
1	67	2	V	1	R	R	1	 716.38	24	27
1	68	2	V	2	R	R	1	 413.98	96	27
1	69	3	I	1	L	L	1	1007.35	96	45
1	70	1	I	1	L	L	1	 666.46	24	9
1	71	3	V	2	R	R	1	 498.99	24	45
1	72	2	V	2	L	L	1	 357.65	24	27
1	73	2	V	1	L	L	1	 622.52	24	27
1	74	2	C	2	L	L	1	 422.41	24	27
1	75	1	V	2	L	L	1	 382.89	24	9
1	76	1	C	2	L	L	1	 482.85	24	9
1	77	2	I	1	L	L	1	 557.64	96	27
1	78	2	C	2	R	R	1	 454.93	24	27
1	79	1	V	2	R	R	1	 479.03	24	9
1	80	3	I	2	L	L	1	 575.13	96	45
1	81	1	V	1	R	R	1	 562.58	24	9
1	82	3	C	1	R	R	1	 655.44	96	45
1	83	1	I	1	R	L	0	 472.97	24	9
1	84	1	V	1	R	R	1	 704.55	24	9
